title,genres
Donnie Brasco,"biography, crime, drama"
Red Rocket,"comedy, drama"
Malignant,"crime, horror, mystery"
Rain Man,drama
Jumanji: Welcome to the Jungle,"action, adventure, comedy"
El Camino: A Breaking Bad Movie,"action, crime, drama"
The Hunt,drama
Alien: Covenant,"horror, sci-fi, thriller"
Reservoir Dogs,"crime, drama, thriller"
What We Do in the Shadows,"comedy, horror"
Alita: Battle Angel,"action, adventure, sci-fi"
Mother!,"drama, horror, mystery"
Almost Famous,"adventure, comedy, drama"
The Lion King,"animation, adventure, drama"
Hellboy,"action, adventure, fantasy"
Starship Troopers,"action, adventure, sci-fi"
The Martian,"adventure, drama, sci-fi"
Dracula,"drama, fantasy, horror"
X-Men,"action, adventure, sci-fi"
The Craft,"drama, fantasy, horror"
Minamata,drama
Swiss Army Man,"comedy, drama, fantasy"
Black Hawk Down,"action, drama, history"
Days of Thunder,"action, drama, sport"
Die Hard,"action, thriller"
The Hating Game,"comedy, romance"
The Age of Adaline,"drama, fantasy, romance"
Evil Under the Sun,"crime, drama, mystery"
Real Genius,"comedy, romance, sci-fi"
The Hateful Eight,"crime, drama, mystery"
Aladdin,"adventure, comedy, family"
Fargo,"crime, thriller"
Captain Fantastic,"comedy, drama"
Poltergeist,"horror, thriller"
Palm Springs,"comedy, fantasy, mystery"
A Serbian Film,"horror, mystery, thriller"
"Blood In, Blood Out","crime, drama"
Venom,"action, adventure, sci-fi"
Mr. & Mrs. Smith,"action, comedy, crime"
Emma.,"comedy, drama, romance"
Wet Hot American Summer,"comedy, romance"
The Thing,"horror, mystery, sci-fi"
Into the Wild,"adventure, biography, drama"
"tick, tick... BOOM!","biography, drama, musical"
The Divergent Series: Insurgent,"action, adventure, sci-fi"
Idiocracy,"adventure, comedy, sci-fi"
The Guilty,"crime, drama, thriller"
Cast Away,"adventure, drama, romance"
We're the Millers,"comedy, crime"
Stargirl,"comedy, drama, family"
Pineapple Express,"action, comedy, crime"
The Informer,"action, crime, drama"
The Proposal,"comedy, drama, romance"
21 Jump Street,"action, comedy, crime"
No Sudden Move,"crime, drama, mystery"
After We Fell,"drama, romance"
The Game,"drama, mystery, thriller"
But I'm a Cheerleader,"comedy, drama, romance"
Stage Fright,"film-noir, mystery, thriller"
Old Henry,"action, drama, western"
Memoirs of a Geisha,"drama, romance"
